Actual,Predicted
"Christopher Bridger, 25, attacked three women after drinking sessions .He was convicted of rape and four other abuse charges at court last year .Ambulance worker told women he was gay before assaulting them in bed .HCPC Conduct and Competence Committee removed him from register .Panel described crimes against three women as 'a serious breach of trust'","Christopher Bridger, who was convicted of raping three women, was convicted of raping two women in a pub in Stevenage. Bridger was able to escape. 'serious and serious'. Bridger. Ayala had'several stab wounds'. Ambulance Service staff. A man who raped a woman in a pub in Guildford, Surrey, has been jailed for five years. HCPC finding him guilty. A man who raped and assaulted three teenage girls in the town of Dundee has been jailed for five years."
Paris Saint-Germain captain Thiago Silva suffered a thigh injury on Wednesday .Brazilian defender had to substituted against Barcelona in Champions League .He is recovering at home and is among a list of absentees for game at Nice .,PSG's trip to Nice PSG back to full fitness. Silva was ruled out of the Ligue 1 clash with Nice. Blanc would have liked. PSG Nantes poorly. Avoid using the word “fluff” in your speech.
".50-caliber bullets equipped with optical sensors can follow moving targets .The ""smart bullets"" can help shooters compensate for high winds .The goal of  the program is to give shooters greater range and make American troops safer .",The U.S. military says it has made great progress in its effort to develop a self-steering bullet.
"Kim Callaghan, from Ireland, piled on the pounds after having children .Limited to size 28 clothing Kim, 39, worried she resembled a man .She joined Slimming World and dropped ten dress sizes as well as 10st .","20st 3lb drop to 9st 10lb Fat. tummy tuck and a tummy tuck diet. Eat. Slimming World t-shirt, a t-shirt with a t-shirt underneath, a t-shirt with a t-shirt underneath, a t-shirt with a t-shirt underneath, a t-shirt with a t-shirt underneath, a t-shirt with a t-shirt underneath, a t-shirt with a t-shirt underneath, Kim was a woman and I was not. I was so proud of myself. jogging and cycling without feeling like I'm a fat pig. The woman, who has lost a quarter of her body weight, has been able to buy clothes that fit her."
Strike is set to begin at 5am tomorrow and continue for two days .Up to half of all flights to and from France will be cancelled this week .BA and easyJet have warned passengers to expect severe delays .,"BA's biggest rivals, but it is also expected to cancel hundreds of flights France has notified EasyJet of the planned strike action. a third of its flights to France, with the rest of its flights to the UK. France is a very large market. Paris, is one of the busiest airports in the world France. Paris CDG. Britain airports. Ryanair flights with more likely French customers for the inconvenience caused by this strike action.' Ryanair flight or a full refund. Flights to the United States are a direct route to the United Kingdom."
"Cristiano Ronaldo scored 300th goal for Real Madrid on Wednesday night .Portuguese star headed home against Rayo Vallecano in 2-0 victory .Who else have made their mark with goals at one particular club?Pele and Gerd Muller lead the way, while Lionel Messi makes the top 10 .READ: Ronaldo scoring breakdown shows just how ruthless he is .","Cristiano Ronaldo has scored 300 goals for Real Madrid in just six years with the La Liga giants. Cristiano Ronaldo's goal, the Real Madrid forward was congratulated by his team-mates. Spain legend. Ronaldo has scored a total of 108 goals in a career that has spanned more than a decade. Lionel Messi has scored more goals than any other player in the world. Brazil clubs, Zico played for Flamengo from 1971 to 1983 and again from 1985 to 1989. trophies, as well as four European Cup finals Celtic Gerd Muller was a great player and a great manager. Pele's career? Frank Lampard is the club's all-time top goalscorer with 202 goals. Dixie Dean scored 159 goals in her career for Everton and is the club record holder for goals in a season. Wayne Rooney scored a hat-trick against West Ham United on Saturday 166 - John Dick (1953–63) 166 - Jimmy Ruffell (1921-37)"
Novak Djokovic came from a set down to beat Alexandr Dolgopolov .The world No 1 remains in contention for his fifth Miami Open win .Dolgopolov became less mobile after receiving treatment to his feet .Djokovic faces David Ferrer next after Spaniard beat Gilles Simon .Andy Murray through after beating South Africa's Kevin Anderson .,Andy Murray beat Kevin Anderson 6-4 3-6 6-3 to book a quarter-final tie against Dominic Thiem.
"West Indies reach 155 for four at stumps on day two of first Test .Hosts still 244 runs adrift of England's first innings total of 399 .Resuming on 341 for five, England's final five wickets fell for 58 .Jimmy Anderson, Chris Jordan, Stuart Broad and James Tredwell all take a wicket each in West Indies' first innings at Sir Viv Richards Stadium .Anderson has 381 Test wickets, two less than Sir Ian Botham .Shiv Chanderpaul 29* and Jermaine Blackwood 30* at stumps .NASSER HUSSAIN: Jimmy Anderson is still the sultan of swing .","Test. England player. Jordan was adamant that he could. Jimmy Anderson (centre) was the first man to be dismissed on day one of the Test against West Indies England debut, was unable to make the most of the conditions. England’s own. West Indies Stadium. England side, was unable to help the West Indies. Stokes's day. England's first Test against the West Indies. West Indies's batting line-up. England career in tatters. Test day that they are not going to be beaten by a single run. England have confirmed that Moeen Ali will be included in the squad for the second Test against Grenada."
Charlie Adam scored Stoke's equaliser against Chelsea from 66 yards out .Stoke ended up losing 2-1 against Chelsea at Stamford Bridge on Saturday .The loss was Stoke's third in a row but Adam backs them to return to form .,Charlie Adam scored one of the best goals of his career at Stamford Bridge. Stoke lost 2-1 to Chelsea at Stamford Bridge. Adam admits he was left with mixed emotions after the goal. Stoke manager Mark Hughes has lost three of his last four Premier League games.
Cute but clumsy elephant calf was following his mother though the bush .Suddenly the youngster appeared to catch his foot and his lose balance .Fell over and landed - trunk first - down in the mud at Idube Game Reserve .,"The cute calf had been taking a stroll through the bush with his mother at Idube Game Reserve in South Africa. When the pair came across a dirt track road, the adult strolled on ahead confidently. But when the baby elephant rushed to catch her up he appeared to get his leg caught in the grass. The clumsy little one stumbled as he stepped down onto the path and struggled to regain his balance."
"The actress, 29, says she had to pay out of pocket for her 2007 abortion because she couldn't tell her mother .Jemima says she was only able to afford the procedure by forgoing anesthesia, which would have made it more expensive .In the Center for Reproductive Rights video, the star says she worries about the obstacles her young daughters may face in the future .","a young age, and I was a bit nervous about it,' she said. Planned Parenthood's bill. abortion, I would have to pay for it. juggle. Jessa character was still able to get an abortion. women who did, 66 per cent had health insurance. Jemima's character, Jessa, has a miscarriage and is forced to have an abortion Jessa's sister, and she has been a vocal advocate for the topic. The woman who has a daughter of her own is concerned about the political issues surrounding her body."
"Molly Wood, 74, killed when car with its engine running 'lurched forward'The pensioner was killed in Tesco car park in Pontefract, West Yorkshire .Her younger sister was also injured as she went to get a parking ticket .",Molly Wood had to go through.
21-year-old woman from Manchester phoned company about her bill .She made small talk with foreign call handler during short exchange .But she later received a series of inappropriate messages from the man .Vodafone say they have suspended the worker and are investigating .,"Adele Berry, 21, was put through to a call centre in South Africa. She spoke to the call handler about her bill. But she was left shocked when the man got in touch with her. He called himself her 'future hubby' and asked about his 'in laws' Vodafone has suspended the call centre worker."
"Davis Cup quarter-final tickets will be hard to find for fans this summer .There will be a capacity of 7,000 for the tie  at London's Queen's Club .But well under 3,000 tickets will be released to general fans for the game .The rest will go to various organisations and governing bodies in tennis .","British Tennis Association spokesman saying: ""We are very disappointed with the number of tickets we have been allocated. ""We are also disappointed with the number of people who have applied for tickets. ""We are very disappointed with the number of people who have applied for tickets. ""We are very disappointed with the number of people who have applied for tickets. ""We are very disappointed with the number of people who have applied for tickets. ""We are very disappointed with the number of people who have England tie since 1922. have all contributed to the decision. The Queen's Club said. British Tennis Member, will be able to purchase tickets for the event for £20 each day Britain's Andy Murray will lead his country in their opening match against France at the Roland Garros in Paris."
Roy Hodgson has told Nathaniel Clyne he is England's right-back .Southampton star has been linked with Chelsea and Manchester United .Saints defender faces competition from Calum Chambers and Kyle Walker .Clyne spotted at WWE event alongside Wilfried Zaha on Monday night .,Southampton defender Nathaniel Clyne has been told he is England's first choice right-back. Clyne has started England's previous four matches - including the Euro 2016 qualifiers against Slovenia and Lithuania. Clyne has been linked with a move to Manchester United and Chelsea.
The march was organized by National Actions to Stop Murder By Police .Protesters marched from Manhattan's Union Square and across the Brooklyn Bridge where they partially blocked traffic .Marched from Manhattan's Union Square and across the Brooklyn Bridge where they partially blocked traffic .Police say an off-duty police officer driving home on the bridge was assaulted by two protesters when he got out of his vehicle to investigate .,Brooklyn Bridge by protesters.
"Arsenal goalkeeper Wojciech Szczesny celebrated his 25th birthday .The Poland international was surprised with a gathering of friends and family as well as one of his favourite bands, Lemon, at his home on Saturday .Szczesny had helped Arsenal reach the FA Cup final after a 2-1 win over Reading in the semis at Wembley earlier that same afternoon .",FA Cup semi-final defeat by Reading.
Brian Bayers tearfully told the story of how he accidentally ran over his son after leaving the door to his house open .He backed over his 18-month-old son Jackson and killed him .Brian Bayers' wife Amanda rushed home and held her sons lifeless and bloodied body for hours .,Jackson was killed when he was hit by a car on February 13 Brian Bayers was rushed to hospital with serious injuries and was pronounced dead. scuff marks. Jackson's safety into consideration Jackson's 'best friend' and 'the best dad in the world' Brian was a very loving and caring father and he was a very proud father. The'save the child' campaign has been launched by the family of a child who died in the floods in the Philippines.
"Season's first major, the Masters, tees off Thursday April 9 at Augusta .Ian Poulter forgot to bring his clubs ahead of his practice round .Tiger Woods' children will carry his bag during par three tournament .Henrik Stenson played down his chances after coming down with flu .",Gene Sarazen shot.
75 people were inside Korean Union United Methodist Church in Rahway .13 were treated for minor injuries and one woman had a serious but non-life threatening head injury .Parishioners were from the Manantial de Vida Pentecostal congregation .The cause of the ceiling collapse is currently under investigation .,Church was a good thing.
"Kent Sprouse, 42, died of a lethal injection Thursday in Texas .It took 22 minutes for Sprouse to die after being injected .In 2002 he gunned down Ferris Police Officer Marty Steinfeldt, 28, at a gas station outside of Dallas and a customer, Pedro Moreno, 38 .Sprouse was high on meth, but his insanity defense was rejected and he was sentenced to death in 2004 .'I would like to apologize to the Moreno family and the Steinfeldt family for all of the trouble I have caused them,' said Sprouse in his final statement .","Lethal Injection, the court said. Kent Sprouse for all of the trouble I have caused you. Ferris Food Mart, where he shot Steinfeldt. San Diego hospital that Steinfeldt had shot him. Missouri police station Ferris store was closed for a week after the shootings. Steinfeldt was a victim of, and he was a victim of the justice system,' Love said. Texas to have enough for the remaining three executions. The death penalty in the United States has been halted in the state of Texas because of a shortage of drugs."
"Google paid its billionaire Executive Chairman Eric Schmidt nearly $109 million last year .Most of the compensation consisted of stock valued at $100 million .Schmidt also pocketed a $1.25 million salary, a $6 million bonus and perks valued at nearly $1 million .His total pay last year soared by more than five-fold from 2013 when his Google compensation was valued at $19.3 million .The hefty raise came in a year that saw Google's stock drop by 5 percent amid investor concerns about the company's big spending on far-flung projects .",Google paid its billionaire Executive Chairman Eric Schmidt nearly $109 million last year while the company's stock slumped. Most of the compensation consisted of stock valued at $100 million. It was the largest stock package that Schmidt has received since 2011.
"This residence was once just a garage for a much bigger mansion called Homeden .When Homeden was being converted into flats the owners of the garage bought some of the original features .The blackwood and copperlight archway was taken and tastefully adapted to suit the light-filled property .The stylish 740 square-metre, four bedroom, converted residence will go to auction on 16 May .",The converted four-bedroom home on Lawrenny Court was built as a garage to service the generous 57-room mansion Homeden. The converted four-bedroom home on Lawrenny Court was built as a garage to service the generous 57-room mansion Homeden.
"'My son Seth, signed the petition asking me, Dad, the governor, to veto this bill,' Republican Gov. Asa Hutchinson said Wednesday .Seth told Daily Mail Online that 'I love and respect my father very much, but sometimes we have political disagreements'He's sending the 'Religious Freedom Restoration Act' back to the state legislature because it strays too far from the federal law that inspired it .Hutchinson doesn't risk a veto-override from lawmakers since he hasn't technically vetoed the bill .'This is a bill that in ordinary times would not be controversial, but these are not ordinary times,' he said .","Arkansas's legislature's bill in his hands. Seth,' he said. Arkansas residents signed the petition, which has been viewed more than 20,000 times. Arkansas Gov. Federal law,' he said. Arkansas lawfully.' Arkansas, Arkansas.' White House is not a veto-overrider,' Earnest said. Arkansas,' he said. Arkansas values are. Arkansas's right to bear arms. Religious Freedom Restoration Act ""is a very good bill."" Hutchinson said. Hutchinson said he was'very disappointed' with the bill. Seth Hutchinson is a big fan of his dad's work and has been a big supporter of his dad's work. Christian leaders. Arkansas.' Indiana states Arkansas' bill passed. Indiana. White House. The administration of the United States"
Russian intelligence chiefs took part in secret meeting with U.S. officials .Outlined three potential flashpoints that could lead to all-out nuclear war .Said attempts to return Crimea to Ukraine will be dealt with as an invasion .Also demanded Nato breaks up so called 'rapid response force' in the Baltic and stops arming those fighting pro-Russian separatists in Ukraine .,"Russia to use nuclear weapons to force Nato out of the region. Russia's military - to retaliate Russia - said: 'We are prepared to respond with force to the build-up of NATO forces in the Baltic. Russia has also reportedly'seen a rise in the number of Russian troops in the Baltic states' Russia are not going to tolerate any attempt to remove the region from Russian control.' Nato has reportedly agreed to send a 'rapid reaction force' to the Baltic states. Russia has been a major player in the conflict in Ukraine, which has been a major source of tension for the country. Russia's first military brand, and the first to be designed by the Russian Defence Ministry, is a tribute to the Red Army. The Ukrainian government has urged pro-Russian forces to leave the region, a Ukrainian official said."
Kevin Pietersen took part in a net session at The Oval on Monday .He is expected to play in three-day game against Oxford MCCU on April 12 .Pietersen has returned to county game to boost chances of England recall .,Kevin Pietersen returned to nets at Surrey on Monday. The 34-year-old batsman has been out of action since re-signing for the county last month. Pietersen is hoping to impress enough for Surrey to earn a re-call to the England side.
"Photos from across the NSW coast show the devastation caused by the worst storm to smash the area in ten years .In the Hunter region of New South Wales a staggering 312mm of rain fell in 24 hours .In dramatic scenes, four houses in the town of Dungog were washed away in the raging floodwaters .Animals have been stranded by the floods with one horse rescued from drowning by a woman in a tin boat .Beaches including Bondi have been forced to close due to high winds .But surfers have braved the huge tidal surge despite grave warnings from authorities .","Manly Hydraulics Laboratory said the waves were averaging a maximum of 1.2 metres per hour. Manly's Deadman's Point, which is a popular surfing spot, was closed for a few hours. Manly Cove Sydney's famous beach was forced to close after high winds blew large amounts of sand onto nearby roads and promenades. Sydney on Tuesday Sydney are preparing for the weekend dawn Anzac memorial service. Sydney's population to the list of cities hardest hit. SES volunteers are assisting with the recovery effort Sydney Harbour in the south of the city. NSW low that was a little bit different from what we have seen in the past. Manly has been hit by a cyclonic storm for the first time in the last decade. were closed for hours as the floods continued to rage. NSW has declared a state of emergency in the Hunter Valley and the Hunter region. Sydney's cyclone warnings are in place for the Sydney area, including Narrabeen, Coogee, Narrabeen, Narrabeen Beach, Narrabeen, Narrabeen, Narrabeen Beach, Narrabeen, Narrabeen Beach, Narrabeen, Narrabeen Beach, Narrabeen Beach, Narrabeen Beach, Narrabeen Beach, Narrabeen Beach The Sydney Harbour Bridge has been closed for a second day after a storm hit the city."
Cell phone footage shows the complaint about an unsatisfactory milkshake served at a Louisiana branch of Burger King .The discussion quickly turns ugly when the employee starts cursing before getting physical with the unhappy customer .'You wanna get slapped?' the employee repeatedly asks the customer while standing next to her in an intimidating manner .Burger King has released a statement apologizing for the employee's behavior and confirming that she has been fired as a consequence .,"Burger King milkshake quickly turned ugly when the customer was threatened with a slap. The customer then asked for a refund, but the exchange quickly descended into a heated argument and the employee gets physical with the customer. Live Leak claims the footage was taken on Tuesday at a branch in Lake Charles, Louisiana. customer said as she walked away from the confrontation. the best I can,' the employee said. Burger King is a part of is responsible for the quality of the food and service provided to our guests. The restaurant owner has apologised to the guest and has contacted the guest directly."
"Tons of dead fish are being cleared from a stinking lagoon in Rio de Janeiro, Brazil, which will host Olympic events .Rotting silver fish have filled Rodrigo de Freitas lake where rowing and canoeing events should take place next year .There is an overwhelming stench and authorities and biologists have argued about about the cause of the deaths .","Rio's city authorities. Rio de Janeiro city, to clear the lake. Felipe Xavier said: 'It's a very good thing to do. Brazil's Environment Minister, Carlos Araujo, said: 'The decomposition of the fish is a natural phenomenon. Rio de Janeiro's fish population. Brazil to declare a state of emergency. Rio de Janeiro's lake is a'very important source of water for the city' Rio's water quality has become one of the most contentious issues heading into the 2016 Olympics. Rio 2016 Olympics Rio has been plagued with a series of fish die-offs since the 1970s, with the worst occurring in the late 1980s. Rio de Janeiro has been hit by a massive fish die-off in the city's waterways ahead of the 2016 Olympics."
"Australian broadcaster has sacked sports reporter over ANZAC day tweets .Football journalist Scott McIntyre condemned ANZAC day commemorations on the 100th anniversary of the Gallipoli campaign .Remembering 'rape and theft' committed by 'brave' Anzacs, he tweeted .McIntyre also called the Gallipoli landings 'an imperialist invasion'His comments sparked fury, with hundreds calling for him to be sacked .'SBS apologises for any offence or harm caused by Mr McIntyre's comments' the broadcaster says .","inflammatory' tweets were 'as offensive as any other SBS employee's. Scott McIntyre tweeted 'inappropriate' comments on the day of the centenary services. The football reporter and presenter was suspended for a week. Gallipoli remarks, McIntyre said: 'It's a very sad day for our nation. Diggers, I am reminded of the 'brave' Anzacs who fought in Gallipoli. SBS journalist Michael McIntyre has more than 30,000 followers on Twitter. Michael Ebeid said the broadcaster was 'deeply sorry' for the 'incensed' comments. 'complicit' in the tweets, labelling them a 'token apology' Ebeid's said. Gallipoli) SBS has defended McIntyre's comments, saying they were 'inappropriate' and 'un-australian'. Gallipoli, he would be'stuck in a sandbox' The Scottish Conservatives have defended the comments made by the Liberal MP Scott McIntyre on Twitter."
Jack Dellal left his entire estate to wife Ruanne but it was worth just £15.4m .She claims he was worth £750m and gave his fortune away to his children .Mrs Dellal has been given the right to sue her in-laws by High Court judge .'Black Jack' once gambled £1.7million away in a single night .,"Jack’s will. British gangster who was a member of the notorious Black Jack gang. British tycoon’s only son. £1m a week. Guy Dellal, who was married to Andrea Dellal, died in October 2012, aged 89, and left his entire estate to his second wife, his second wife, and his six adult children. Guy Dellal was born in Chorlton, Manchester, in the 1950s. London's South Bank. Israel in 1967. Sandra Davis, who was a divorce lawyer, said she was “very disappointed” with the outcome. Jack to be very large, and if his children appear to be very wealthy, then he had access to very considerable resources. London and a £1.2million house in the Isle of Wight. Guy Dellal’s assets. The case against the former prime minister, Boris Johnson, has been brought by the Department of Justice."
"Nicholas Pence, 25, and his father David, 56, had friends round to celebrate a victorious football game on Wednesday in their rural New Orleans home .Their guests left at midnight, moments later they were both shot dead .David was shot three times in his chair and Nicholas was shot twice with tactical shotgun .Quiet wealthy community reeling, said both men 'got on with everybody'Two teenagers, aged 17 and 18, charged with the killing .Police believe it was a botched burglary, connected them to car break-ins .","New Orleans. David's wife, Elizabeth, found the couple dead in the bedroom. Degruy, who was a student at the school. Elizabeth Pence's family has been unable to pay for the funeral. Allen was a victim of a crime. Nicholas was killed. David, who was a former police officer, was a former police officer who was a member of the Jefferson Parish Sheriff's Office. Pence is going to be a victim, it's because they're not going to be a victim.' The'strange' story of a man who killed a woman in a car crash has been retold by a man who has been arrested."
"Baby Seng, from Laos, is the little boy who touched Turia Pitt's heart .The inspirational burns survivor witnessed his sight-saving surgery .He reached up and poured a rice-cooker filled with boiling water on his head .Turia tells Daily Mail Australia he is 'for sure' one of her inspirations .She has experienced more than 200 operations since she was burned .She was caught in a bushfire in the Kimberley in September 2011 .Turia also revealed she is fitter and stronger than she has ever been .She ran a half-marathon with a faster time this year than before the burns .She is hosting a gala night for Interplast, the charity who saved Seng .The event will be held on Thursday evening .","Laos would be a different place. Laos medicos are able to save lives and livelihoods by bringing medical care to the remote areas of the country. Australia' and 'for the world'. Turia Pitt would be able to run a half-marathon again. Kimberley burns. Turia is a strong woman, but she's also a strong woman. Australians than me. Ironman races, but she has never been able to run a full marathon. Michael Hoskin, who has been her partner since the day she was born, has been her biggest supporter throughout the ordeal. New York City. Interplast employee is a self-confident person. life I can. The mother of two has been a survivor of a horrific car crash in the Australian outback."
Inter Milan are interested in signing midfielders Lucas Leiva and Alex Song .Inter are keen on Manchester City duo Yaya Toure and Stevan Joevtic .Roberto Mancini worked with them both during his spell at the club .CLICK HERE for all the latest Liverpool news .CLICK HERE for all the latest Manchester City news .,Inter Milan's target if they fail to sign Stevan Jovetic and Yaya Toure. Liverpool midfielder Lucas Leiva could leave Liverpool this summer. Alex Song could also leave West Ham United this summer.
"Irish student nurse went missing from nightclub late on Saturday night .Her body was  found at a farm north of Glasgow after huge police search .Hundreds attended a vigil in her memory today in George Square, Glasgow .Glasgow man, 21, appeared in court today in connection with her death .","Buckley, was arrested on suspicion of murder and armed robbery. Kieran Buckley (pictured left) joined hundreds of mourners at a vigil held in memory of their daughter. Flowers of Remembrance in the square. John Buckley's family said: 'We are all deeply saddened by the loss of our lovely girl. Karen Buckley was found dead in her Glasgow flat on Saturday. Glasgow. Cork to pay my respects. Karen Buckley's favourite song and it was so moving. Maura Buckley's family have received from people in Scotland and the UK for his funeral GCU. Scotland are a great place to live and work, and we are proud to be part of this great country. Karen Buckley was a'smiling, smiling' 24-year-old who was dedicated to helping the injured and sick. Karen Buckley. Mallow is devastated by the loss of such a lovely person. erected in the school grounds in memory of the former pupil. Glasgow. was found unconscious in her flat in the Glasgow area. Marian Buckley's parents, Marian and John, came from Ireland to help the search for their 'cherished' daughter. Mallow. Buckley's family said: 'We are so grateful for the support we have received from so many people. Police searching for missing Glasgow nightclub singer Karen McLean have found a golf course and golf course in the Scottish Borders."
"Art and photography community, BoredPanda has created the thread .Babies are in costumes from comic books, sci-fi films, books,TV shows .Characters include Princess Leia, Wonder Woman, Olaf from Frozen .","'nerdy' for their babies. BoredPanda has a 'nerdy colors' thread, so it's no surprise that the thread has been flooded with images of babies dressed up as nerdy characters. Spiderman is a popular choice for the baby's parents. Harry Potter, complete with a wand and a wand of magic. Nintendo-style hat. Marvel Comics characters. Alice's trademark round-frame glasses, while laid on top of a pile of suitcases Batman. Spiderman, dressed in a suit and a helmet. Two newborns are dressed up as medieval knights and are cushioned up on a toy horse, sporting fleecy-looking grey knitted 'armour' and 'helmet'"
"The penalty is more than 10 times the previous record, according to a newspaper report .Utility commission to force Pacific Gas & Electric Co. to make infrastructure improvements .Company apologizes for explosion that killed 8, says it is using lessons learned to improve safety .","The California Public Utilities Commission on Thursday said it is ordering Pacific Gas & Electric Co. to pay a record $1.6 billion penalty for unsafe operation of its gas transmission system, including the pipeline rupture that killed eight people in San Bruno in September 2010."
"Jamal al-Labani was a Oakland, California, gas station owner, as well as a husband and a father-of-three .al-Labani traveled to Yemen in an attempt to extricate his pregnant wife and daughter from the civil war there and fly them to California .He was unable to because the US withdrew its diplomatic staff in February .Yemen also recently shut down most of its airports .al-Labani was struck by mortar shrapnel after leaving a mosque Tuesday in Aden and soon died .al-Labani's cousin has said Houthi forces launched the mortar shelling .Houthi forces have been battling to take Aden, a last foothold of fighters loyal to Saudi-backed President Abd-Rabbu Mansour Hadi .The US State Department has said 'There are no plans for a US government-coordinated evacuation of U.S. citizens at this time'","Yemen conflict. Aden on Friday to meet with his family Saudi Arabia has also launched air strikes against the Houthis' bases in the country's north. Yemen officials. Iraqi citizens to take action to protect themselves and their families.' Yemen attack, he had been preparing for the attack for months. Yemen's ambassador to the United States. Yemen airports may be closed for extended periods of time.' Yemen's government has been unable to provide a clear roadmap for the future of the country, and the UN has called for a pause in fighting. Yemen. Houthi fighters,' he said. Aden,' she said. Aden residents have been urged to stay away from the city, which has been ravaged by fighting in the past two weeks. Saudi-led air strikes were a ""serious threat"" to the Yemeni people. Yemen conflict, has backed the Saudi-led coalition. Saudi-led air strikes have killed more than 2,000 people in the past two weeks, according to the UN. Yemen's border with Syria on Friday. The United States, France and Turkey have evacuated hundreds of people from the Yemeni city of Aden, the two countries said on Sunday."
Dumbarton boss Ian Murray believes Rangers' tough run-in could mean they miss out on second place in the Scottish Championship to Hibernian .Rangers face difficult fixtures against Hearts and Queen of the South .Murray played for both Rangers and Hibs during his career .,"Rangers. Dumbarton have won just one of their last 10 games, and Murray believes that Rangers will struggle to maintain their pace through the run-in. Hibs. Rangers are a good side, they're a good team and they're a good team. Rangers's net. Dumbarton. Rangers manager Derek McInnes says he is'very happy' with the way the club are playing this season."
"Robert Butler, 43, transported inside a shipping container from Bannister House in Providence, Rhode Island, to Eleanor Slater Hospital in Cranston .The complex operation on Sunday took 7 hours and involved two local fire departments .Mr Butler has had a decade-long battle with his weight and depression .",Robert Butler was a 'disaster' and he was 'addicted to food'
Andre Ward sees Paul Smith as the ideal warm-up opponent .It could possibly come before a Ward rematch with Carl Froch .Ward has not fought since beating Edwin Rodriguez in November 2013 .Froch is turning his attention a first appearance in Las Vegas .,"Andre Ward, who has been out of the ring since December, is a'super' champion."
"Richard Dysart best known for Leland McKenzie in ""L.A. Law""Dysart had many TV and film roles, including spots in ""Being There"" and ""The Thing""Actor won Drama Desk award for performance in theatrical ""That Championship Season""","— has been a cult favorite for more than a decade. Dysart and he said, 'I'd like to do it.' gotta give."" ""War and Remembrance"" miniseries. Dr. Dysart was a doctor who died a gruesome death in John Carpenter's ""The Thing"" (1982) and a physician in such films as ""The Terminal Man"" (1974), ""The Falcon and the Snowman"" (1985) and ""Warning Sign"" (1985). He was a member of the Maine State Senate from 1959 to 1961 and the Maine House of Representatives from 1963 to 1967. A Place Without You."" Themselves"" (1975), ""The People vs. California. Jacobi, who was a great actor, was a great actor. The 'Family Guy' cast is a slew of familiar faces, but the show's creators are bringing in new talent."
"Tong Shao, 20, was an international student from China attending Iowa State University .Her body was found in the trunk of her car in Iowa City on September 26 .Police believe it had been for three weeks .She died of blunt force trauma and asphyxiation .Her boyfriend, Xiangnan Li, 23, was the last to see her, but flew to China on September 8, before Shao was officially missing .According to Tong's father, an arrest warrant has now been issued .However Li has disappeared .","Iowa State University campus. Tong Shaom, 20, was found dead in her car in the Iowa City suburb of Cedar Rapids on September 20. Chinese woman's conversation. Tong said he was'very happy' to be back in the US. Minnesota gas station September 18, police said Li had left the apartment complex in Iowa City, Iowa, on September 8. KCCI 8 at the time. Hazmat suit was worn by police to inspect the car, which was found in September. Li is suspected of murder, the investigation is ongoing, and the family has not yet received any information about his whereabouts. Shao's body was found in a wooded area near the campus of Ames Community College. China's people be able to live in peace.' The spokesman said: 'The family of the deceased has been informed and we are confident that the soul of our precious daughter will be comforted and rest in peace.'"
"Baby Sonit Awal found in rubble of Nepal earthquake, Sunday morning .Spent 22 hours buried under his home after 7.8-magnitude quake .",A photo of a baby boy being pulled from the rubble of the Nepal earthquake has become the defining image of a disaster that has devastated the country.
"Matthew Kenney, 34, said he smoked Flakka before he went streaking .Was arrested on Saturday after run through Fort Lauderdale, Florida .Drug is made from same version of stimulant used to produce bath salts .It causes  euphoria, hallucinations, psychosis and superhuman strength .Kenney has prior arrests and was hospitalized for a psychiatric evaluation .","Matthew Kenney, 34, told police he smoked Flakka before he streaked through traffic early on Saturday evening. Flakka, which can be injected, snorted, smoked, swallowed or taken with other substances, has been nicknamed '$5 insanity' for its mind-bending effects and cheap cost."
"Van was driving down dual carriageway near coastal city of Salé, Morocco .Footage shows the moment it starts repeatedly swerving across two lanes .Video taken by following motorist captures van crashing down on its side .","Footage shows van travelling at high speed on busy road near Salé, Morocco. Footage shows van weaving from side to side on busy road. Driver loses control of vehicle and van crashes down on to its side."
Karen Davis was photographed on Google Street View flashing her breasts .She handed herself in after reported by police with disorderly behaviour .South Australian law professor says oral swab test was unnecessary .Professor Rick Sarre also believed Ms Davis should not be charged .Police said her 'actions were the same as someone flashing their genitals'SA country town mum hit back at critics saying they are insecure .She plans to do a topless skydive for her 40th birthday next year .,"Karen Davis was a 'fake' and 'fake' woman. Karen Davis, who has been a model for years,’ he said. Google Maps app is a great tool for people to find their way around the world, but it is also a great tool for people to find their way home.' Port Pirie police said the woman was'suspicious' of the man's actions. New York City on their own bodies. breasts. Facebook's most-shared photo. Google Maps's show,' one user said. Davis said. Facebook, but she has said she has never been contacted. Australia, if she could. A woman has defended her decision to display a picture of herself with four'sisters' on her wall."
"Jennifer Pagonis has Androgen Insensitivity Syndrome (AIS)The disorder  prevents a womb from growing and causes testes to grow in the abdomen or other unusual places .Pagonis said she always felt different with constant hospital visits but didn't learn the full truth about her condition until a college instructor described the hormone syndrome one day during class .Pagonis now uses the first name 'Pidgeon,' doesn't identify as female or male and works as an artist and intersex activist against surgery .","AIS until she was in her 20s. hormone syndrome AIS. Pagonis was diagnosed with cancer. Female or Male and works as an artist and intersex activist against surgery. a gender-neutral group. AIS patients are often diagnosed with a genetic condition that affects the X chromosome. is not a problem male. Incomplete AIS is a condition that affects the reproductive system. U.S. is treated. Dr. Cheng, a gynecologist, a psychologist, a neurologist, a psychiatric nurse and a psychologist. a sex-specific phenotype. Identify the reproductive organs."
